Status,Country,ReactorCode,Reactor Name,Type,Grid Connection,Online,Commercial operation,Shutdown,Offline,Latitude,Longitude,Link1,Link2,Link3,Power from Nuclear
Shut Down,United States,US-245,MILLSTONE-1, BWR,11/1/1970,"November, 1970",3/1/1971,7/1/1998,"July, 1998",41.3119,-72.1686,https://en.wikipedia.org/wiki/Millstone_Nuclear_Power_Plant,https://www.nrc.gov/info-finder/decommissioning/power-reactor/millstone-unit-1.html,,0.19
Operational,United States,US-313,ANO-1,PWR,8/1/1974,"August, 1974",12/1/1974,,None (Currently operational),35.31028,-93.23139,https://en.wikipedia.org/wiki/Arkansas_Nuclear_One,https://www.nrc.gov/info-finder/reactors/ano1.html,,0.19
Operational,United States,US-368,ANO-2,PWR,12/1/1978,"December, 1978",3/1/1980,,None (Currently operational),35.31028,-93.23139,https://en.wikipedia.org/wiki/Arkansas_Nuclear_One,https://www.nrc.gov/info-finder/reactors/ano1.html,,0.19
Operational,United States,US-456,BRAIDWOOD-1,PWR,7/1/1987,"July, 1987",7/1/1988,,None (Currently operational),41.24361,-88.22917,https://en.wikipedia.org/wiki/Braidwood_Nuclear_Generating_Station,https://www.nrc.gov/info-finder/reactors/brai1.html,,0.19
Operational,United States,US-457,BRAIDWOOD-2,PWR,5/1/1988,"May, 1988",10/1/1988,,None (Currently operational),41.24361,-88.22917,https://en.wikipedia.org/wiki/Braidwood_Nuclear_Generating_Station,https://www.nrc.gov/info-finder/reactors/brai1.html,,0.19
Operational,United States,US-325,BRUNSWICK-1,BWR,12/1/1976,"December, 1976",3/1/1977,,None (Currently operational),33.95833,-78.01028,https://en.wikipedia.org/wiki/Brunswick_Nuclear_Generating_Station,https://www.nrc.gov/info-finder/reactors/bru1.html,,0.19
Operational,United States,US-324,BRUNSWICK-2,BWR,4/1/1975,"April, 1975",11/1/1975,,None (Currently operational),33.95833,-78.01028,https://en.wikipedia.org/wiki/Brunswick_Nuclear_Generating_Station,https://www.nrc.gov/info-finder/reactors/bru1.html,,0.19
Operational,United States,US-334,BEAVER VALLEY-1,PWR,6/1/1976,"June, 1976",10/1/1976,,None (Currently operational),40.62333,-80.43056,https://en.wikipedia.org/wiki/Beaver_Valley_Nuclear_Power_Station,https://www.nrc.gov/info-finder/reactors/bv1.html,https://www.world-nuclear.org/reactor/default.aspx/BEAVER%2520VALLEY-1,0.19
Operational,United States,US-412,BEAVER VALLEY-2,PWR,8/1/1987,"August, 1987",11/1/1987,,None (Currently operational),40.62333,-80.43056,https://en.wikipedia.org/wiki/Beaver_Valley_Nuclear_Power_Station,https://www.nrc.gov/info-finder/reactors/bv1.html,https://www.world-nuclear.org/reactor/default.aspx/BEAVER%2520VALLEY-1,0.19
Operational,United States,US-413,CATAWBA-1,PWR,1/1/1985,"January, 1985",6/1/1985,,None (Currently operational),35.0517,-81.07,https://en.wikipedia.org/wiki/Catawba_Nuclear_Station,https://www.nrc.gov/info-finder/reactors/cat1.html,,0.19
Operational,United States,US-414,CATAWBA-2,PWR,5/1/1986,"May, 1986",8/1/1986,,None (Currently operational),35.0517,-81.07,https://en.wikipedia.org/wiki/Catawba_Nuclear_Station,https://www.nrc.gov/info-finder/reactors/cat1.html,,0.19
Operational,United States,US-315,COOK-1,PWR,2/1/1975,"February, 1975",8/1/1975,,None (Currently operational),41.97556,-86.56528,https://en.wikipedia.org/wiki/Donald_C._Cook_Nuclear_Plant,https://www.nrc.gov/info-finder/reactors/cook1.html,https://en.wikipedia.org/wiki/List_of_nuclear_reactors,0.19
Operational,United States,US-316,COOK-2,PWR,3/1/1978,"March, 1978",7/1/1978,,None (Currently operational),41.97556,-86.56528,https://en.wikipedia.org/wiki/Donald_C._Cook_Nuclear_Plant,https://www.nrc.gov/info-finder/reactors/cook1.html,https://en.wikipedia.org/wiki/List_of_nuclear_reactors,0.19
Operational,United States,US-445,COMANCHE PEAK-1,PWR,4/1/1990,"April, 1990",8/1/1990,,None (Currently operational),32.29833,-97.785,https://en.wikipedia.org/wiki/Comanche_Peak_Nuclear_Power_Plant,https://www.nrc.gov/info-finder/reactors/cp1.html,,0.19
Operational,United States,US-446,COMANCHE PEAK-2,PWR,4/1/1993,"April, 1993",8/1/1993,,None (Currently operational),32.29833,-97.785,https://en.wikipedia.org/wiki/Comanche_Peak_Nuclear_Power_Plant,https://www.nrc.gov/info-finder/reactors/cp1.html,,0.19
Operational,United States,US-275,DIABLO CANYON-1,PWR,11/1/1984,"November, 1984",5/1/1985,,None (Currently operational),35.21083,-120.85611,https://en.wikipedia.org/wiki/Diablo_Canyon_Power_Plant,https://www.nrc.gov/info-finder/reactors/diab1.html,,0.19
Operational,United States,US-323,DIABLO CANYON-2,PWR,10/1/1985,"October, 1985",3/1/1986,,None (Currently operational),35.21083,-120.85611,https://en.wikipedia.org/wiki/Diablo_Canyon_Power_Plant,https://www.nrc.gov/info-finder/reactors/diab1.html,,0.19
Operational,United States,US-416,GRAND GULF-1,BWR,10/1/1984,"October, 1984",7/1/1985,,None (Currently operational),32.00722,-91.04778,https://en.wikipedia.org/wiki/Grand_Gulf_Nuclear_Station,https://www.nrc.gov/info-finder/reactors/gg1.html,,0.19
Operational,United States,US-400,HARRIS-1,PWR,1/1/1987,"January, 1987",5/1/1987,,None (Currently operational),35.6333,-78.955,https://en.wikipedia.org/wiki/Shearon_Harris_Nuclear_Power_Plant,https://www.nrc.gov/info-finder/reactors/har1.html,,0.19
Operational,United States,US-373,LASALLE-1,BWR,9/1/1982,"September, 1982",1/1/1984,,None (Currently operational),41.24556,-88.66917,https://en.wikipedia.org/wiki/LaSalle_County_Nuclear_Generating_Station,https://www.nrc.gov/info-finder/reactors/lasa1.html,,0.19
Operational,United States,US-374,LASALLE-2,BWR,4/1/1984,"April, 1984",10/1/1984,,None (Currently operational),41.24556,-88.66917,https://en.wikipedia.org/wiki/LaSalle_County_Nuclear_Generating_Station,https://www.nrc.gov/info-finder/reactors/lasa1.html,,0.19
Operational,United States,US-369,MCGUIRE-1,PWR,9/1/1981,"September, 1981",12/1/1981,,None (Currently operational),35.4325,-80.94833,https://en.wikipedia.org/wiki/McGuire_Nuclear_Station,https://www.nrc.gov/info-finder/reactors/mcg1.html,,0.19
Operational,United States,US-370,MCGUIRE-2,PWR,5/1/1983,"May, 1983",3/1/1984,,None (Currently operational),35.4325,-80.94833,https://en.wikipedia.org/wiki/McGuire_Nuclear_Station,https://www.nrc.gov/info-finder/reactors/mcg1.html,,0.19
Operational,United States,US-220,NINE MILE POINT-1,BWR,11/1/1969,"November, 1969",12/1/1969,,None (Currently operational),43.52083,-76.40694,https://en.wikipedia.org/wiki/Nine_Mile_Point_Nuclear_Generating_Station,https://www.nrc.gov/info-finder/reactors/nmp1.html,,0.19
Operational,United States,US-410,NINE MILE POINT-2,BWR,8/1/1987,"August, 1987",3/1/1988,,None (Currently operational),43.52083,-76.40694,https://en.wikipedia.org/wiki/Nine_Mile_Point_Nuclear_Generating_Station,https://www.nrc.gov/info-finder/reactors/nmp1.html,,0.19
Operational,United States,US-269,OCONEE-1,PWR,5/1/1973,"May, 1973",7/1/1973,,None (Currently operational),34.79389,-82.89806,https://en.wikipedia.org/wiki/Oconee_Nuclear_Station,https://www.nrc.gov/info-finder/reactors/oco1.html,http://www.world-nuclear.org/reactor/default.aspx/OCONEE-1,0.19
Operational,United States,US-270,OCONEE-2,PWR,12/1/1973,"December, 1973",9/1/1974,,None (Currently operational),34.79389,-82.89806,https://en.wikipedia.org/wiki/Oconee_Nuclear_Station,https://www.nrc.gov/info-finder/reactors/oco1.html,http://www.world-nuclear.org/reactor/default.aspx/OCONEE-1,0.19
Operational,United States,US-287,OCONEE-3,PWR,9/1/1974,"September, 1974",12/1/1974,,None (Currently operational),34.79389,-82.89806,https://en.wikipedia.org/wiki/Oconee_Nuclear_Station,https://www.nrc.gov/info-finder/reactors/oco1.html,http://www.world-nuclear.org/reactor/default.aspx/OCONEE-1,0.19
Operational,United States,US-266,POINT BEACH-1,PWR,11/1/1970,"November, 1970",12/1/1970,,None (Currently operational),44.28111,-87.53667,https://en.wikipedia.org/wiki/Point_Beach_Nuclear_Plant,https://www.nrc.gov/info-finder/reactors/poin1.html,,0.19
Operational,United States,US-301,POINT BEACH-2,PWR,8/1/1972,"August, 1972",10/1/1972,,None (Currently operational),44.28111,-87.53667,https://en.wikipedia.org/wiki/Point_Beach_Nuclear_Plant,https://www.nrc.gov/info-finder/reactors/poin1.html,,0.19
Operational,United States,US-282,PRAIRIE ISLAND-1,PWR,12/1/1973,"December, 1973",12/1/1973,,None (Currently operational),44.62167,-92.63306,https://en.wikipedia.org/wiki/Prairie_Island_Nuclear_Power_Plant,https://www.nrc.gov/info-finder/reactors/prai1.html,,0.19
Operational,United States,US-306,PRAIRIE ISLAND-2,PWR,12/1/1974,"December, 1974",12/1/1974,,None (Currently operational),44.62167,-92.63306,https://en.wikipedia.org/wiki/Prairie_Island_Nuclear_Power_Plant,https://www.nrc.gov/info-finder/reactors/prai1.html,,0.19
Operational,United States,US-458,RIVER BEND-1,BWR,12/1/1985,"December, 1985",6/1/1986,,None (Currently operational),30.7567,-91.333,https://en.wikipedia.org/wiki/River_Bend_Nuclear_Generating_Station,https://www.nrc.gov/info-finder/reactors/rbs1.html,,0.19
Operational,United States,US-261,ROBINSON-2,PWR,9/1/1970,"September, 1970",3/1/1971,,None (Currently operational),34.40278,-80.15833,https://en.wikipedia.org/wiki/H._B._Robinson_Nuclear_Generating_Station,https://www.nrc.gov/info-finder/reactors/rob2.html,,0.19
Operational,United States,US-272,SALEM-1,PWR,12/1/1976,"December, 1976",6/1/1977,,None (Currently operational),39.46278,-75.53556,https://en.wikipedia.org/wiki/Salem_Nuclear_Power_Plant,https://www.nrc.gov/info-finder/reactors/salm1.html,,0.19
Operational,United States,US-311,SALEM-2,PWR,6/1/1981,"June, 1981",10/1/1981,,None (Currently operational),39.46278,-75.53556,https://en.wikipedia.org/wiki/Salem_Nuclear_Power_Plant,https://www.nrc.gov/info-finder/reactors/salm1.html,,0.19
Operational,United States,US-443,SEABROOK-1,PWR,5/1/1990,"May, 1990",8/1/1990,,None (Currently operational),42.89889,-70.85083,https://en.wikipedia.org/wiki/Seabrook_Station_Nuclear_Power_Plant,https://www.nrc.gov/info-finder/reactors/seab1.html,,0.19
Operational,United States,US-327,SEQUOYAH-1,PWR,7/1/1980,"July, 1980",7/1/1981,,None (Currently operational),35.22639,-85.09167,https://en.wikipedia.org/wiki/Sequoyah_Nuclear_Plant,https://www.nrc.gov/info-finder/reactors/seq1.html,,0.19
Operational,United States,US-328,SEQUOYAH-2,PWR,12/1/1981,"December, 1981",6/1/1982,,None (Currently operational),35.22639,-85.09167,https://en.wikipedia.org/wiki/Sequoyah_Nuclear_Plant,https://www.nrc.gov/info-finder/reactors/seq1.html,,0.19
Operational,United States,US-498,SOUTH TEXAS-1,PWR,3/1/1988,"March, 1988",8/1/1988,,None (Currently operational),28.79556,-96.04889,https://en.wikipedia.org/wiki/South_Texas_Nuclear_Generating_Station,https://www.nrc.gov/info-finder/reactors/stp1.html,https://www.world-nuclear.org/reactor/default.aspx/SOUTH%2520TEXAS-1,0.19
Operational,United States,US-499,SOUTH TEXAS-2,PWR,4/1/1989,"April, 1989",6/1/1989,,None (Currently operational),28.79556,-96.04889,https://en.wikipedia.org/wiki/South_Texas_Nuclear_Generating_Station,https://www.nrc.gov/info-finder/reactors/stp1.html,https://www.world-nuclear.org/reactor/default.aspx/SOUTH%2520TEXAS-1,0.19
Operational,United States,US-280,SURRY-1,PWR,7/1/1972,"July, 1972",12/1/1972,,None (Currently operational),37.16556,-76.69778,https://en.wikipedia.org/wiki/Surry_Nuclear_Power_Plant,https://www.nrc.gov/info-finder/reactors/sur1.html,,0.19
Operational,United States,US-281,SURRY-2,PWR,3/1/1973,"March, 1973",5/1/1973,,None (Currently operational),37.16556,-76.69778,https://en.wikipedia.org/wiki/Surry_Nuclear_Power_Plant,https://www.nrc.gov/info-finder/reactors/sur1.html,,0.19
Operational,United States,US-387,SUSQUEHANNA-1,BWR,11/1/1982,"November, 1982",6/1/1983,,None (Currently operational),41.08889,-76.14889,https://en.wikipedia.org/wiki/Susquehanna_Steam_Electric_Station,https://www.nrc.gov/info-finder/reactors/susq1.html,,0.19
Operational,United States,US-388,SUSQUEHANNA-2,BWR,7/1/1984,"July, 1984",2/1/1985,,None (Currently operational),41.08889,-76.14889,https://en.wikipedia.org/wiki/Susquehanna_Steam_Electric_Station,https://www.nrc.gov/info-finder/reactors/susq1.html,,0.19
Operational,United States,US-250,TURKEY POINT-3,PWR,11/1/1972,"November, 1972",12/1/1972,,None (Currently operational),25.43417,-80.33056,https://en.wikipedia.org/wiki/Turkey_Point_Nuclear_Generating_Station,https://www.nrc.gov/info-finder/reactors/tp3.html,,0.19
Operational,United States,US-251,TURKEY POINT-4,PWR,6/1/1973,"June, 1973",9/1/1973,,None (Currently operational),25.43417,-80.33056,https://en.wikipedia.org/wiki/Turkey_Point_Nuclear_Generating_Station,https://www.nrc.gov/info-finder/reactors/tp3.html,,0.19
Operational,South Korea,KR-2,KORI-2,PWR,4/1/1983,"April, 1983",7/1/1983,,None (Currently operational),35.319904,129.290053,https://en.wikipedia.org/wiki/Kori_Nuclear_Power_Plant,https://www.nti.org/learn/facilities/5/,,0.23
Operational,South Korea,KR-5,KORI-3,PWR,1/1/1985,"January, 1985",9/1/1985,,None (Currently operational),35.319904,129.290053,https://en.wikipedia.org/wiki/Kori_Nuclear_Power_Plant,https://www.nti.org/learn/facilities/5/,,0.23
Operational,South Korea,KR-6,KORI-4,PWR,12/1/1985,"December, 1985",4/1/1986,,None (Currently operational),35.319904,129.290053,https://en.wikipedia.org/wiki/Kori_Nuclear_Power_Plant,https://www.nti.org/learn/facilities/5/,,0.23
Shut Down,South Korea,KR-1,KORI-1, PWR,6/1/1977,"June, 1977",4/1/1978,6/1/2017,"June, 2017",35.319904,129.290053,https://en.wikipedia.org/wiki/Kori_Nuclear_Power_Plant,https://www.nti.org/learn/facilities/5/,,0.23
Shut Down,Ukraine,UA-43,CHERNOBYL-4, LWGR,12/1/1983,"December, 1983",3/1/1984,4/1/1986,"April, 1986",51.38917,30.09944,https://en.wikipedia.org/wiki/Chernobyl_Nuclear_Power_Plant,https://www.theparisreview.org/letters-essays/5447/voices-from-chernobyl-svetlana-alexievich,,0.55
Operational,Argentina,AR-1,ATUCHA-1,PHWR,3/1/1974,"March, 1974",6/1/1974,,None (Currently operational),-33.96722,-59.2075,https://en.wikipedia.org/wiki/Atucha_Nuclear_Power_Plant,https://www.world-nuclear.org/information-library/country-profiles/countries-a-f/argentina.aspx,,0.05
Operational,Argentina,AR-3,ATUCHA-2,PHWR,6/1/2014,"June, 2014",5/1/2016,,None (Currently operational),-33.96722,-59.2075,https://en.wikipedia.org/wiki/Atucha_Nuclear_Power_Plant,https://www.world-nuclear.org/information-library/country-profiles/countries-a-f/argentina.aspx,,0.05
Operational,Bulgaria,BG-5,KOZLODUY-5,PWR,11/1/1987,"November, 1987",12/1/1988,,None (Currently operational),43.74611,23.77056,https://en.wikipedia.org/wiki/Kozloduy_Nuclear_Power_Plant,https://www.world-nuclear.org/information-library/country-profiles/countries-a-f/bulgaria.aspx,,0.34
Operational,Bulgaria,BG-6,KOZLODUY-6,PWR,8/1/1991,"August, 1991",12/1/1993,,None (Currently operational),43.74611,23.77056,https://en.wikipedia.org/wiki/Kozloduy_Nuclear_Power_Plant,https://www.world-nuclear.org/information-library/country-profiles/countries-a-f/bulgaria.aspx,,0.34
Shut Down,Bulgaria,BG-1,KOZLODUY-1, PWR,7/1/1974,"July, 1974",10/1/1974,12/1/2002,"December, 2002",43.74611,23.77056,https://en.wikipedia.org/wiki/Kozloduy_Nuclear_Power_Plant,https://www.world-nuclear.org/information-library/country-profiles/countries-a-f/bulgaria.aspx,,0.34
Shut Down,Bulgaria,BG-2,KOZLODUY-2, PWR,8/1/1975,"August, 1975",11/1/1975,12/1/2002,"December, 2002",43.74611,23.77056,https://en.wikipedia.org/wiki/Kozloduy_Nuclear_Power_Plant,https://www.world-nuclear.org/information-library/country-profiles/countries-a-f/bulgaria.aspx,,0.34
Shut Down,Bulgaria,BG-3,KOZLODUY-3, PWR,12/1/1980,"December, 1980",1/1/1981,12/1/2006,"December, 2006",43.74611,23.77056,https://en.wikipedia.org/wiki/Kozloduy_Nuclear_Power_Plant,https://www.world-nuclear.org/information-library/country-profiles/countries-a-f/bulgaria.aspx,,0.34
Shut Down,Bulgaria,BG-4,KOZLODUY-4, PWR,5/1/1982,"May, 1982",6/1/1982,12/1/2006,"December, 2006",43.74611,23.77056,https://en.wikipedia.org/wiki/Kozloduy_Nuclear_Power_Plant,https://www.world-nuclear.org/information-library/country-profiles/countries-a-f/bulgaria.aspx,,0.34
Operational,Czechia,CZ-4,DUKOVANY-1,PWR,2/1/1985,"February, 1985",5/1/1985,,None (Currently operational),49.085,16.14889,https://en.wikipedia.org/wiki/Dukovany_Nuclear_Power_Station,https://www.world-nuclear.org/information-library/country-profiles/countries-a-f/czech-republic.aspx,https://www.world-nuclear.org/reactor/default.aspx/DUKOVANY-1,0.34
Operational,Czechia,CZ-5,DUKOVANY-2,PWR,1/1/1986,"January, 1986",3/1/1986,,None (Currently operational),49.085,16.14889,https://en.wikipedia.org/wiki/Dukovany_Nuclear_Power_Station,https://www.world-nuclear.org/information-library/country-profiles/countries-a-f/czech-republic.aspx,https://www.world-nuclear.org/reactor/default.aspx/DUKOVANY-1,0.34
Operational,Czechia,CZ-8,DUKOVANY-3,PWR,11/1/1986,"November, 1986",12/1/1986,,None (Currently operational),49.085,16.14889,https://en.wikipedia.org/wiki/Dukovany_Nuclear_Power_Station,https://www.world-nuclear.org/information-library/country-profiles/countries-a-f/czech-republic.aspx,https://www.world-nuclear.org/reactor/default.aspx/DUKOVANY-1,0.34
Operational,Czechia,CZ-9,DUKOVANY-4,PWR,6/1/1987,"June, 1987",7/1/1987,,None (Currently operational),49.085,16.14889,https://en.wikipedia.org/wiki/Dukovany_Nuclear_Power_Station,https://www.world-nuclear.org/information-library/country-profiles/countries-a-f/czech-republic.aspx,https://www.world-nuclear.org/reactor/default.aspx/DUKOVANY-1,0.34
Operational,Czechia,CZ-23,TEMELIN-1,PWR,12/1/2000,"December, 2000",6/1/2002,,None (Currently operational),49.18,14.376111,https://en.wikipedia.org/wiki/Temel%25C3%25ADn_Nuclear_Power_Station,https://www.world-nuclear.org/information-library/country-profiles/countries-a-f/czech-republic.aspx,https://www.world-nuclear.org/reactor/default.aspx/TEMELIN-1,0.34
Operational,Czechia,CZ-24,TEMELIN-2,PWR,12/1/2002,"December, 2002",4/1/2003,,None (Currently operational),49.18,14.376111,https://en.wikipedia.org/wiki/Temel%25C3%25ADn_Nuclear_Power_Station,https://www.world-nuclear.org/information-library/country-profiles/countries-a-f/czech-republic.aspx,https://www.world-nuclear.org/reactor/default.aspx/TEMELIN-1,0.34
Operational,Finland,FI-3,OLKILUOTO-1,BWR,9/1/1978,"September, 1978",10/1/1979,,None (Currently operational),61.23694,21.44083,https://en.wikipedia.org/wiki/Olkiluoto_Nuclear_Power_Plant,https://www.world-nuclear.org/information-library/country-profiles/countries-a-f/finland.aspx,,0.33
Operational,Finland,FI-4,OLKILUOTO-2,BWR,2/1/1980,"February, 1980",7/1/1982,,None (Currently operational),61.23694,21.44083,https://en.wikipedia.org/wiki/Olkiluoto_Nuclear_Power_Plant,https://www.world-nuclear.org/information-library/country-profiles/countries-a-f/finland.aspx,,0.33
Operational,Germany,DE-31,ISAR-2,PWR,1/1/1988,"January, 1988",4/1/1988,,None (Currently operational),48.6056056,12.29315,https://en.wikipedia.org/wiki/Isar_Nuclear_Power_Plant,https://www.world-nuclear.org/information-library/country-profiles/countries-g-n/germany.aspx,,0.12
Operational,Germany,DE-32,BROKDORF,PWR,10/1/1986,"October, 1986",12/1/1986,,None (Currently operational),53.85083,9.34472,https://en.wikipedia.org/wiki/Brokdorf_Nuclear_Power_Plant,https://www.world-nuclear.org/information-library/country-profiles/countries-g-n/germany.aspx,,0.12
Shut Down,Germany,DE-16,ISAR-1, BWR,12/1/1977,"December, 1977",3/1/1979,8/1/2011,"August, 2011",48.6056056,12.29315,https://en.wikipedia.org/wiki/Isar_Nuclear_Power_Plant,https://www.world-nuclear.org/information-library/country-profiles/countries-g-n/germany.aspx,,0.12
