Status,Country,ReactorCode,Reactor Name,Type,Grid Connection,Commercial operation,Shutdown,Latitude,Longitude,Link1,Link2,Link3
Operational,FRANCE,FR-27,GRAVELINES-3,PWR,12/1/1980,6/1/1981,,51.01528,2.13611,https://en.wikipedia.org/wiki/Gravelines_Nuclear_Power_Station,https://www.world-nuclear.org/reactor/default.aspx/GRAVELINES-1,
Operational,FRANCE,FR-28,GRAVELINES-4,PWR,6/1/1981,10/1/1981,,51.01528,2.13611,https://en.wikipedia.org/wiki/Gravelines_Nuclear_Power_Station,https://www.world-nuclear.org/reactor/default.aspx/GRAVELINES-1,
Operational,FRANCE,FR-51,GRAVELINES-5,PWR,8/1/1984,1/1/1985,,51.01528,2.13611,https://en.wikipedia.org/wiki/Gravelines_Nuclear_Power_Station,https://www.world-nuclear.org/reactor/default.aspx/GRAVELINES-1,
Operational,FRANCE,FR-52,GRAVELINES-6,PWR,8/1/1985,10/1/1985,,51.01528,2.13611,https://en.wikipedia.org/wiki/Gravelines_Nuclear_Power_Station,https://www.world-nuclear.org/reactor/default.aspx/GRAVELINES-1,
Operational,UK,GB-16A,HINKLEY POINT B-1,GCR,10/1/1976,10/1/1978,,51.209034,-3.127477,https://en.wikipedia.org/wiki/Hinkley_Point_B_nuclear_power_station,https://www.world-nuclear.org/reactor/default.aspx/HINKLEY%2520POINT%2520B-1,
Operational,UK,GB-16B,HINKLEY POINT B-2,GCR,2/1/1976,9/1/1976,,51.209034,-3.127477,https://en.wikipedia.org/wiki/Hinkley_Point_B_nuclear_power_station,https://www.world-nuclear.org/reactor/default.aspx/HINKLEY%2520POINT%2520B-1,
Operational,RUSSIA,RU-11,NOVOVORONEZH-4,PWR,12/1/1972,3/1/1973,,51.275,39.2,https://en.wikipedia.org/wiki/Novovoronezh_Nuclear_Power_Plant,,
Operational,RUSSIA,RU-20,NOVOVORONEZH-5,PWR,5/1/1980,2/1/1981,,51.275,39.2,https://en.wikipedia.org/wiki/Novovoronezh_Nuclear_Power_Plant,,
Operational,RUSSIA,RU-161,NOVOVORONEZH 2-1,PWR,8/1/2016,2/1/2017,,51.275,39.2,https://en.wikipedia.org/wiki/Novovoronezh_Nuclear_Power_Plant_II,,
Operational,RUSSIA,RU-162,NOVOVORONEZH 2-2,PWR,5/1/2019,10/1/2019,,51.275,39.2,https://en.wikipedia.org/wiki/Novovoronezh_Nuclear_Power_Plant_II,,
Operational,BELGIUM,BE-2,DOEL-1,PWR,8/1/1974,2/1/1975,,51.32472,4.25861,https://en.wikipedia.org/wiki/Doel_Nuclear_Power_Station,https://www.world-nuclear.org/reactor/default.aspx/DOEL-1,
Operational,BELGIUM,BE-4,DOEL-2,PWR,8/1/1975,12/1/1975,,51.32472,4.25861,https://en.wikipedia.org/wiki/Doel_Nuclear_Power_Station,https://www.world-nuclear.org/reactor/default.aspx/DOEL-1,
Operational,BELGIUM,BE-5,DOEL-3,PWR,6/1/1982,10/1/1982,,51.32472,4.25861,https://en.wikipedia.org/wiki/Doel_Nuclear_Power_Station,https://www.world-nuclear.org/reactor/default.aspx/DOEL-1,
Operational,BELGIUM,BE-7,DOEL-4,PWR,4/1/1985,7/1/1985,,51.32472,4.25861,https://en.wikipedia.org/wiki/Doel_Nuclear_Power_Station,https://www.world-nuclear.org/reactor/default.aspx/DOEL-1,
Operational,UKRAINE,UA-27,ROVNO-1,PWR,12/1/1980,9/1/1981,,51.32778,25.89167,https://en.wikipedia.org/wiki/Rivne_Nuclear_Power_Plant,https://www.world-nuclear.org/reactor/default.aspx/ROVNO-1,
Operational,UKRAINE,UA-28,ROVNO-2,PWR,12/1/1981,7/1/1982,,51.32778,25.89167,https://en.wikipedia.org/wiki/Rivne_Nuclear_Power_Plant,https://www.world-nuclear.org/reactor/default.aspx/ROVNO-1,
Operational,UKRAINE,UA-29,ROVNO-3,PWR,12/1/1986,5/1/1987,,51.32778,25.89167,https://en.wikipedia.org/wiki/Rivne_Nuclear_Power_Plant,https://www.world-nuclear.org/reactor/default.aspx/ROVNO-1,
Operational,UKRAINE,UA-69,ROVNO-4,PWR,10/1/2004,4/1/2006,,51.32778,25.89167,https://en.wikipedia.org/wiki/Rivne_Nuclear_Power_Plant,https://www.world-nuclear.org/reactor/default.aspx/ROVNO-1,
Operational,NETHERLANDS,NL-2,BORSSELE,PWR,7/1/1973,10/1/1973,,51.43083,3.71833,https://en.wikipedia.org/wiki/Borssele_Nuclear_Power_Station,https://www.world-nuclear.org/information-library/country-profiles/countries-g-n/netherlands.aspx,
Operational,RUSSIA,RU-17,KURSK-1,LWGR,12/1/1976,10/1/1977,,51.675,35.60556,https://en.wikipedia.org/wiki/Kursk_Nuclear_Power_Plant,,
Operational,RUSSIA,RU-22,KURSK-2,LWGR,1/1/1979,8/1/1979,,51.675,35.60556,https://en.wikipedia.org/wiki/Kursk_Nuclear_Power_Plant,,
Operational,RUSSIA,RU-38,KURSK-3,LWGR,10/1/1983,3/1/1984,,51.675,35.60556,https://en.wikipedia.org/wiki/Kursk_Nuclear_Power_Plant,,
Operational,RUSSIA,RU-39,KURSK-4,LWGR,12/1/1985,2/1/1986,,51.675,35.60556,https://en.wikipedia.org/wiki/Kursk_Nuclear_Power_Plant,,
Operational,GERMANY,DE-27,GROHNDE,PWR,9/1/1984,2/1/1985,,52.03528,9.41333,https://en.wikipedia.org/wiki/Grohnde_Nuclear_Power_Plant,,
Operational,RUSSIA,RU-96,BALAKOVO-1,PWR,12/1/1985,5/1/1986,,52.09111,47.95528,https://en.wikipedia.org/wiki/Balakovo_Nuclear_Power_Plant,,
Operational,RUSSIA,RU-97,BALAKOVO-2,PWR,10/1/1987,1/1/1988,,52.09111,47.95528,https://en.wikipedia.org/wiki/Balakovo_Nuclear_Power_Plant,,
Operational,RUSSIA,RU-98,BALAKOVO-3,PWR,12/1/1988,4/1/1989,,52.09111,47.95528,https://en.wikipedia.org/wiki/Balakovo_Nuclear_Power_Plant,,
Operational,RUSSIA,RU-99,BALAKOVO-4,PWR,4/1/1993,12/1/1993,,52.09111,47.95528,https://en.wikipedia.org/wiki/Balakovo_Nuclear_Power_Plant,,
Operational,UK,GB-24,SIZEWELL B,PWR,2/1/1995,9/1/1995,,52.215,1.61972,https://en.wikipedia.org/wiki/Sizewell_nuclear_power_stations,https://www.world-nuclear.org/reactor/default.aspx/SIZEWELL%2520B,
Operational,GERMANY,DE-33,EMSLAND,PWR,4/1/1988,6/1/1988,,52.4742306,7.3178583,https://en.wikipedia.org/wiki/Emsland_Nuclear_Power_Plant,https://www.world-nuclear.org/reactor/default.aspx/EMSLAND,
Operational,GERMANY,DE-32,BROKDORF,PWR,10/1/1986,12/1/1986,,53.85083,9.34472,https://en.wikipedia.org/wiki/Brokdorf_Nuclear_Power_Plant,https://www.world-nuclear.org/information-library/country-profiles/countries-g-n/germany.aspx,
Operational,UK,GB-20A,HEYSHAM A-1,GCR,7/1/1983,4/1/1989,,54.02889,-2.91611,https://en.wikipedia.org/wiki/Heysham_nuclear_power_station,,
Operational,UK,GB-20B,HEYSHAM A-2,GCR,10/1/1984,4/1/1989,,54.02889,-2.91611,https://en.wikipedia.org/wiki/Heysham_nuclear_power_station,,
