index,Country,Reactor Code,Reactor Name,Shut down ,Shutdown reason,Decom. strategy,Current decom.  phase,Current fuel management,Decom. licensee,Licence expiration,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Latitude,Longitude
Decommissioning,USA, US -130,PATHFINDER, 1967-10,5, Dd+SE,11,, NMC,,,,,,,,43.60361,-96.6375
Decommissioning, KAZAKHSTAN, KZ -10,AKTAU, 1999-4,"2,5", Dd+PD+SE,"1,6","4,7", MAEC-KAZ,,,,,,,,43.607,51.283
Decommissioning, BULGARIA, BG -1,KOZLODUY-1, 2002-12,Others, Dd+PD+SE,6,"3,6,7", E-03492,2031,,,,,,,43.74611,23.77056
Decommissioning,BULGARIA, BG -2,KOZLODUY-2, 2002-12,Others, Dd+PD+SE,6,"3,6,7", E-03493,2031,,,,,,,43.74611,23.77056
Decommissioning,BULGARIA, BG -3,KOZLODUY-3, 2006-12,Others, Dd+PD+SE,6,"3,7", E-00174,2031,,,,,,,43.74611,23.77056
Decommissioning,BULGARIA, BG -4,KOZLODUY-4, 2006-12,Others, Dd+PD+SE,,"3,6,7", E-0008,2031,,,,,,,43.74611,23.77056
Decommissioning,CANADA, CA -5,PICKERING-2, 2007-5,2, Dd+PD+SE,,, OPG,,,,,,,,43.81167,-79.06583
Decommissioning,CANADA, CA -6,PICKERING-3, 2008-10,2, ISD,,, OPG,,,,,,,,43.81167,-79.06583
Decommissioning,USA, US -309,MAINE YANKEE, 1997-8,6, ID,4,7, MYAPC,2005,,,,,,,43.95056,-69.69583
Decommissioning,CANADA, CA -2,DOUGLAS POINT, 1984-5,2, Dd+SE,8,7, AECL,,,,,,,,44.32667,-81.6
Decommissioning,USA, US -305,KEWAUNEE, 2013-5,"2,6", Dd+SE,,, DOMINRES,,,,,,,,44.34222,-87.53611
Decommissioning,ITALY, IT -4,CAORSO, 1990-7,"7,Others", ID,"4,9",, SOGIN,2034,,,,,,,45.07206,9.87214
Decommissioning,USA, US -011,ELK RIVER, 1968-2,"1,Others", ID,,, RCPA,1974,,,,,,,45.295172,-93.5567
Decommissioning,USA, US -155,BIG ROCK POINT, 1997-8,"2,Others", ID,,7, CPC,2007,,,,,,,45.35889,-85.19722
Decommissioning,FRANCE, FR -9,BUGEY-1, 1994-5,"1,2", ID,9,, EDF,2020,,,,,,,45.79833,5.27083
Decommissioning,USA, US -344,TROJAN, 1992-11,6, Dd+PD+SE,9,, PORTGE,2005,,,,,,,46.03833,-122.885
Decommissioning, CANADA, CA -1,ROLPHTON NPD, 1987-8,2, Dd+PD+SE,8,, AECL,,,,,,,,46.18667,-77.65778
Decommissioning,CANADA, CA -3,GENTILLY-1, 1977-6,2, Dd+PD+SE,8,7, AECL/HQ,,,,,,,,46.39583,-72.35694
Decommissioning, SWITZERLAND, CH -8,LUCENS, 1969-1,4, Dd+SE,1,, EOS,2004,,,,,,,46.6928222,6.8268917
Decommissioning,FRANCE, FR -2,CHINON A-1, 1973-4,"1,2", ID,,, EDF,,,,,,,,47.2325,0.1703
Decommissioning,FRANCE, FR -3,CHINON A-2, 1985-6,"1,2", ID,,, EDF,2025,,,,,,,47.2325,0.1703
Decommissioning,FRANCE, FR -4,CHINON A-3, 1990-6,"1,2", ID,9,, EDF,,,,,,,,47.2325,0.1703
Decommissioning,FRANCE, FR -7,ST. LAURENT A-1, 1990-4,"1,2", ID,,, EDF,2027,,,,,,,47.72,1.5775
Decommissioning,FRANCE, FR -8,ST. LAURENT A-2, 1992-5,"1,2", ID,,, EDF,2025,,,,,,,47.72,1.5775
Decommissioning,FRANCE, FR -6,EL-4 (MONTS D'ARREE), 1985-7,"1,2", ID,,, EDF,2015,,,,,,,48.3533,-3.8722028
Decommissioning, SLOVAKIA, SK -1,BOHUNICE A1, 1977-2,4, Dd+PD+SE,"3,6",, JAVYS,,,,,,,,48.49444,17.68194
Decommissioning,SLOVAKIA, SK -2,BOHUNICE-1, 2006-12,7, ID,"3,4,9",, JAVYS,,,,,,,,48.49444,17.68194
Decommissioning,SLOVAKIA, SK -3,BOHUNICE-2, 2008-12,7, ID,"3,4,9",, JAVYS,,,,,,,,48.49444,17.68194
Decommissioning,GERMANY, DE -3,GUNDREMMINGEN-A, 1977-1,"6,8", ID,,, KGG,,,,,,,,48.51472,10.40222
Decommissioning,GERMANY, DE -11,NIEDERAICHBACH, 1974-7,6, Other,,, KIT,1995,,,,,,,48.60472,12.30389
Decommissioning,GERMANY, DE -16,ISAR-1, 2011-8,7, ID,2,"2,3", PElectra,2038,,,,,,,48.6056056,12.29315
Decommissioning,GERMANY, DE -15,NECKARWESTHEIM-1, 2011-8,7, ID,1,3, EnKK,,,,,,,,49.04167,9.175
Decommissioning,GERMANY, DE -14,PHILIPPSBURG-1, 2011-8,7, ID,1,3, EnKK,,,,,,,,49.2525,8.43639
Decommissioning,GERMANY, DE -5,OBRIGHEIM, 2005-5,7, ID,,, EnKK,,,,,,,,49.36444,9.07639
Decommissioning,GERMANY, DE -12,BIBLIS-A, 2011-8,7, ID,,"3,7", RWE,,,,,,,,49.71,8.41528
Decommissioning,GERMANY, DE -18,BIBLIS-B, 2011-8,7, ID,2,, RWE,,,,,,,,49.71,8.41528
Decommissioning,GERMANY, DE -23,GRAFENRHEINFELD, 2015-6,7, ID,,"2,3", PElectra,2035,,,,,,,49.9840861,10.1846694
Decommissioning, GERMANY, DE -1,VAK KAHL, 1985-11,Others, Other,,, VAK,2010,,,,,,,50.0591194,8.987278
Decommissioning,GERMANY, DE -2,MZFR, 1984-5,Others, Other,,, KTE,,,,,,,,50.0591294,8.9871812
Decommissioning,GERMANY, DE -8,KNK II, 1991-8,5, Other,,, KTE,,,,,,,,50.0591294,8.9871812
Decommissioning,FRANCE, FR -5,CHOOZ-A (ARDENNES), 1991-10,Others, ID,11,, SENA,2019,,,,,,,50.09,4.78944
Decommissioning,GERMANY, DE -4,AVR JUELICH, 1988-12,7, ID,"3,4",,,,,,,,,,50.90306,6.42111
Decommissioning,UK, GB -9A,DUNGENESS A-1, 2006-12,"2,8", Dd+PD+SE,8,, Magnox S,2111,,,,,,,50.913889,0.963889
Decommissioning,UK, GB -9B,DUNGENESS A-2, 2006-12,"2,8", Dd+PD+SE,8,, Magnox S,2111,,,,,,,50.913889,0.963889
Decommissioning,UK, GB -7A,HINKLEY POINT A-1, 2000-5,"2,8", Dd+PD+SE,8,, Magnox S,2104,,,,,,,51.208739,-3.133743
Decommissioning,UK, GB -7B,HINKLEY POINT A-2, 2000-5,"2,8", Dd+PD+SE,8,, Magnox S,2104,,,,,,,51.208739,-3.133743
Decommissioning,RUSSIA, RU -4,NOVOVORONEZH-1, 1988-2,Others, Other,,, EA,,,,,,,,51.275,39.2
Decommissioning,RUSSIA, RU -8,NOVOVORONEZH-2, 1990-8,Others, Other,,, EA,,,,,,,,51.275,39.2
