Status,Country,ReactorCode,Reactor Name,Type,Grid Connection,Commercial operation,Shutdown,,,,ARMENIA,BELGIUM,BULGARIA,CANADA,FRANCE,GERMANY,ITALY,JAPAN,KAZAKHSTAN,"KOREA,REP.OF",LITHUANIA,NETHERLANDS,RUSSIA,SLOVAKIA,SPAIN,SWEDEN,SWITZERLAND,UK,UKRAINE,USA,CZECHREP.,SLOVENIA,ROMANIA,INDIA,CHINA,SOUTHAFRICA,HUNGARY,FINLAND,BRAZIL,"IRAN,ISL.REP.",ARGENTINA,PAKISTAN,MEXICO
Shut Down,FRANCE,FR-7,ST. LAURENT A-1, GCR,3/1/1969,6/1/1969,4/1/1990,,1/1/1975,12/31/1975,0,4,2,7,10,12,3,13,1,0,0,2,14,1,3,5,3,30,0,54,0,0,0,3,0,0,0,0,0,0,1,1,0
Shut Down,FRANCE,FR-8,ST. LAURENT A-2, GCR,8/1/1971,11/1/1971,5/1/1992,,1/1/1976,12/31/1976,1,4,2,8,10,15,3,14,1,0,0,2,16,1,3,5,3,33,0,62,0,0,0,3,0,0,0,0,0,0,1,1,0
Shut Down,FRANCE,FR-24,SUPER-PHENIX, FBR,1/1/1986,12/1/1986,12/1/1998,,1/1/1977,12/31/1977,1,4,2,10,12,15,3,16,1,1,0,2,16,1,3,6,3,34,1,64,0,0,0,3,0,0,0,1,0,0,1,1,0
Shut Down,GERMANY,DE-4,AVR JUELICH, HTGR,12/1/1967,5/1/1969,12/1/1988,,1/1/1978,12/31/1978,1,4,2,10,14,17,4,21,1,1,0,2,16,1,3,6,3,33,2,69,0,0,0,3,0,0,0,2,0,0,1,1,0
Shut Down,GERMANY,DE-12,BIBLIS-A, PWR,8/1/1974,2/1/1975,8/1/2011,,1/1/1979,12/31/1979,1,4,2,10,16,19,4,22,1,1,0,2,18,1,3,6,4,33,2,68,0,0,0,3,0,0,0,2,0,0,1,1,0
Shut Down,GERMANY,DE-18,BIBLIS-B, PWR,4/1/1976,1/1/1977,8/1/2011,,1/1/1980,12/31/1980,2,4,3,10,23,19,4,23,1,1,0,2,20,2,3,8,4,33,3,69,0,0,0,4,0,0,0,4,0,0,1,1,0
Shut Down,GERMANY,DE-13,BRUNSBUETTEL, BWR,7/1/1976,2/1/1977,8/1/2011,,1/1/1981,12/31/1981,2,4,3,10,30,20,4,25,1,1,0,2,22,2,4,9,4,33,5,73,0,1,0,4,0,0,0,4,0,0,1,1,0
Shut Down,GERMANY,DE-23,GRAFENRHEINFELD, PWR,12/1/1981,6/1/1982,6/1/2015,,1/1/1982,12/31/1982,2,6,4,13,32,20,4,25,1,2,0,2,23,2,4,10,4,32,6,77,0,1,0,4,0,0,1,4,1,0,1,1,0
Shut Down,GERMANY,DE-502,GREIFSWALD-1, PWR,12/1/1973,7/1/1974,2/1/1990,,1/1/1983,12/31/1983,2,6,4,14,36,21,3,28,1,3,1,2,23,2,6,10,4,35,7,79,0,1,0,5,0,0,1,4,1,0,2,1,0
Shut Down,GERMANY,DE-503,GREIFSWALD-2, PWR,12/1/1974,4/1/1975,2/1/1990,,1/1/1984,12/31/1984,2,6,4,17,42,25,3,31,1,3,1,2,25,3,7,10,5,37,8,85,0,1,0,5,0,1,2,4,1,0,2,1,0
Shut Down,GERMANY,DE-504,GREIFSWALD-3, PWR,10/1/1977,5/1/1978,2/1/1990,,1/1/1985,12/31/1985,2,8,4,16,45,25,3,33,1,5,1,2,28,4,8,12,5,38,10,93,1,1,0,6,0,2,2,4,1,0,2,1,0
Shut Down,GERMANY,DE-505,GREIFSWALD-4, PWR,9/1/1979,11/1/1979,7/1/1990,,1/1/1986,12/31/1986,2,8,4,18,49,26,3,35,1,7,1,2,29,4,8,12,5,38,12,100,3,1,0,6,0,2,3,4,1,0,2,1,0
Shut Down,GERMANY,DE-506,GREIFSWALD-5, PWR,4/1/1989,11/1/1989,11/1/1989,,1/1/1987,12/31/1987,2,8,5,19,53,26,3,36,1,7,2,2,30,4,9,12,5,38,13,108,4,1,0,6,0,2,4,4,1,0,2,1,0
Shut Down,GERMANY,DE-3,GUNDREMMINGEN-A, BWR,12/1/1966,4/1/1967,1/1/1977,,1/1/1988,12/31/1988,2,7,5,18,55,28,2,38,1,8,2,2,31,4,10,12,5,41,13,109,4,1,0,6,0,2,4,4,1,0,2,1,0
Shut Down,GERMANY,DE-26,GUNDREMMINGEN-B, BWR,3/1/1984,7/1/1984,12/1/2017,,1/1/1989,12/31/1989,2,7,5,18,55,27,2,39,1,9,2,2,30,4,10,12,5,41,15,112,4,1,0,7,0,2,4,4,1,0,2,1,1
