Country,Reactor Code,Reactor Name,Shut down ,Shutdown reason,Decom. strategy,Current decom.  phase,Current fuel management,Decom. licensee,Licence expiration,,,,,,
JAPAN, JP -17,FUKUSHIMA-DAIICHI-5, 2013-12,Others, Other,,, TEPCO DL,,,,,,,
JAPAN, JP -18,FUKUSHIMA-DAIICHI-6, 2013-12,Others, Other,,, TEPCO DL,,,,,,,
JAPAN, JP -19,OHI-2, 2018-3,3, Dd+PD+SE,8,, KEPCO,2049,,,,,,
JAPAN, JP -2,TOKAI-1, 1998-3,2, Dd+PD+SE,"3,4,6,7,9",, JAPCO,2030,,,,,,
 JAPAN, JP -20,FUGEN ATR, 2003-3,2, ID,"1,6",5, JAEA,2034,,,,,,
JAPAN, JP -23,IKATA-1, 2016-5,Others, Dd+SE,7,2, SHIKOKU,2056,,,,,,
JAPAN, JP -24,HAMAOKA-2, 2009-1,6, Dd+SE,"3,4,6,7",, CHUBU DL,2037,,,,,,
JAPAN, JP -3,TSURUGA-1, 2015-4,3, Dd+PD+SE,"3,4,6,7",, JAPCO,2040,,,,,,
JAPAN, JP -31,MONJU, 2017-12,7, ID,"1,2",1,,2047,,,,,,
JAPAN, JP -32,IKATA-2, 2018-5,Others, Other,1,, SHIKOKU,,,,,,,
JAPAN, JP -4,MIHAMA-1, 2015-4,3, Dd+PD+SE,"3,6,8",, KEPCO,2046,,,,,,
JAPAN, JP -5,FUKUSHIMA-DAIICHI-1, 2011-5,Others, Other,,, TEPCO DL,,,,,,,
JAPAN, JP -6,MIHAMA-2, 2015-4,3, Dd+PD+SE,"3,6,8",, KEPCO,2046,,,,,,
JAPAN, JP -7,SHIMANE-1, 2015-4,6, Other,,, CHUGOKU,,,,,,,
JAPAN, JP -9,FUKUSHIMA-DAIICHI-2, 2011-5,Others, Other,,, TEPCO DL,,,,,,,
 KAZAKHSTAN, KZ -10,AKTAU, 1999-4,"2,5", Dd+PD+SE,"1,6","4,7", MAEC-KAZ,,,,,,,
" KOREA, REP. OF", KR -1,KORI-1, 2017-6,"7,Others", ID,1,, KHNP,,,,,,,
 LITHUANIA, LT -46,IGNALINA-1, 2004-12,"7,Others", ID,"3,9","2,3,7", INPP,2038,,,,,,
LITHUANIA, LT -47,IGNALINA-2, 2009-12,"7,Others", ID,"3,9","2,3,7", INPP,2038,,,,,,
 NETHERLANDS, NL -1,DODEWAARD, 1997-3,"2,Others", Dd+SE,7,, BV GKN,2055,,,,,,
 RUSSIA, RU -3,BELOYARSK-1, 1983-1,Others, Other,,, EA,,,,,,,
RUSSIA, RU -4,NOVOVORONEZH-1, 1988-2,Others, Other,,, EA,,,,,,,
RUSSIA, RU -6,BELOYARSK-2, 1990-1,Others, Other,,, EA,,,,,,,
RUSSIA, RU -8,NOVOVORONEZH-2, 1990-8,Others, Other,,, EA,,,,,,,
 SLOVAKIA, SK -1,BOHUNICE A1, 1977-2,4, Dd+PD+SE,"3,6",, JAVYS,,,,,,,
SLOVAKIA, SK -2,BOHUNICE-1, 2006-12,7, ID,"3,4,9",, JAVYS,,,,,,,
SLOVAKIA, SK -3,BOHUNICE-2, 2008-12,7, ID,"3,4,9",, JAVYS,,,,,,,
 SPAIN, ES -1,JOSE CABRERA-1, 2006-4,Others, ID,,7, UFG,2015,,,,,,
SPAIN, ES -2,SANTA MARIA DE GARONA, 2017-8,Others, ID,1,, NN,2031,,,,,,
SPAIN, ES -3,VANDELLOS-1, 1990-7,4, Dd+PD+SE,8,, ENRESA,2032,,,,,,
 SWEDEN, SE -1,AGESTA, 1974-6,2, Dd+SE,7,4, VAB,,,,,,,
SWEDEN, SE -2,OSKARSHAMN-1, 2017-6,2, ID,"1,6",4, OKG,,,,,,,
SWEDEN, SE -3,OSKARSHAMN-2, 2016-12,2, ID,1,4, OKG,,,,,,,
SWEDEN, SE -6,BARSEBACK-1, 1999-11,Others, Other,"1,6",4, BKAB,2033,,,,,,
SWEDEN, SE -8,BARSEBACK-2, 2005-5,Others, Other,"1,6",4, BKAB,2033,,,,,,
 SWITZERLAND, CH -8,LUCENS, 1969-1,4, Dd+SE,1,, EOS,2004,,,,,,
 UK, GB -10A,SIZEWELL A-1, 2006-12,"2,8", Dd+SE,8,, Magnox S,2110,,,,,,
UK, GB -10B,SIZEWELL A-2, 2006-12,"2,8", Dd+SE,8,, Magnox S,2110,,,,,,
UK, GB -12,WINFRITH SGHWR, 1990-9,Others, ID,"10,11",, UKAEA,2019,,,,,,
UK, GB -14,DOUNREAY DFR, 1977-3,Others, Dd+PD+SE,5,, DSR,2333,,,,,,
